Year,Month,Day,P28,P30,P46,P48,P62,P64,P91,P92,P93,P104,P105,P107,sp_avrg,Barisal,Mongla,Khepupara,Patuakhali,obs,Bias_corrected,RMSE,MAE,PBIAS,,,,,
1990,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5588,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1765,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,12.432,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,28,1.44,0,0,0,0.17,0,3.51,0,0,0,0,0,0.426666667,21.6005,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,29,9.88,0,7.35,0,7.77,0,9.46,6.77,0,7.42,2.78,0,4.285833333,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,1,0,0,0,0,0,0,0,0,0,1.41,2.81,0,0.351666667,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43475,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40297,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0493,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475288,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,10,0,0,0,0,0,0,0,0,0,0,0.3,0,0.025,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,11,1.63,7.34,5.15,2.3,3.84,3.55,0,0,0,0,0,0,1.984166667,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9668,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6039,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0047,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,21,0,0,0,0,0,0,0,0,0,0,0,14.53,1.210833333,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2787,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20229,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9945,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,26,0,0,0,0,0,0,0.2,0,0,0.15,0,0,0.029166667,3.17365,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,27,5.02,5.37,5.68,0,5.96,0.65,5.2,4.8,0.49,5.87,7.16,0,3.85,9.40382,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,28,17.88,18.49,19.19,20.48,19.99,20.59,17.88,17.7,18.95,15.98,16.93,20.76,18.735,5.07133,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7483,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2815,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,1,10.06,0,7.78,0,9.54,0,14.8,10.92,0,12.5,6.19,0,5.9825,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,2,33.25,21.52,34.27,21.67,38.67,24.57,52.17,43.06,31.18,43.09,38.03,33.38,34.57166667,3.30102,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,3,33.67,20.4,34.01,19.85,41.54,24.13,74.91,59.11,36.59,64.18,50.56,40.82,41.6475,29.8566,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,4,24.98,11.59,23.36,0,29.4,6.98,61.36,43.79,19.25,48.69,33.78,24.56,27.31166667,16.8383,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,5,27.38,14.38,26,12,35.75,18.84,82.54,63.98,38.46,72.57,59.45,45.16,41.37583333,8.50555,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,6,32.99,17.99,30.47,13.91,39.61,21.52,80.15,66.69,47.21,74.41,69.05,52.43,45.53583333,15.1182,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,7,31.01,27.25,34.3,29.64,40.45,35.42,61.34,55.65,49.55,59.66,58.79,52.96,44.66833333,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,8,29.14,29.92,32.11,31.84,36.08,34.72,47.36,44.32,41.29,46.16,45.45,43.26,38.47083333,21.462,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,9,23.67,24.88,27.09,27.48,31.45,30.24,45.85,41.53,36.95,43.62,41.05,39.89,34.475,21.1556,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,10,32,30.96,31.14,28.74,31.24,27.85,35.15,31.12,26.6,29.65,27.34,25.14,29.74416667,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,11,23.17,20.68,21.26,18.94,21.19,17.9,23,20.05,17.54,18.96,18.14,19.25,20.00666667,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,12,19.89,18.6,19.48,18,20.08,18.19,20.5,19.67,19.39,19.14,20.06,21.43,19.53583333,9.14242,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,13,0,0,0,0,0,0,0.48,0,0,0,0,0,0.04,15.2449,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27066,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27267,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957039,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,17,0,0,0,0,0,0,0.23,0,0,0,0,7.4,0.635833333,2.39218,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,18,0,0,0,0,0.48,0,13.05,10.56,4.14,14.14,11.98,11.21,5.463333333,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
1990,6,19,11.02,0,7.14,0,9.09,4.42,17.23,13,11.18,15.35,9.57,22.89,10.07416667,0,-9.99E+08,-9.99E+08,-9.99E+08,-999000000,,,,,,,,,
